time,state,car_sales
2017-10-01,WA,8 458
2017-10-01,TAS,1 870
2017-10-01,NT,744
2017-10-01,ACT,1 448
2017-11-01,NSW,33 463
2017-11-01,VIC,29 332
2017-11-01,QLD,19 134
2017-11-01,SA,6 330
2017-11-01,WA,8 685
2017-11-01,TAS,2 021
2017-11-01,NT,789
2017-11-01,ACT,1 611
2017-12-01,NSW,33 014
2017-12-01,VIC,31 336
2017-12-01,QLD,19 543
2017-12-01,SA,6 611
2017-12-01,WA,7 942
2017-12-01,TAS,2 166
2017-12-01,NT,710
2017-12-01,ACT,1 498
